Name                                                                         Stmts   Miss  Cover
/usr/local/lib/python2.7/site-packages/future/types/newlist.py                  40     22    45%
/usr/local/lib/python2.7/site-packages/future/types/newobject.py                27     16    41%
/usr/local/lib/python2.7/site-packages/future/types/newrange.py                 79     54    32%
/usr/local/lib/python2.7/site-packages/future/types/newstr.py                  188    138    27%
/usr/local/lib/python2.7/site-packages/future/utils/__init__.py                279    196    30%
/usr/local/lib/python2.7/site-packages/haversine/__init__.py                    13      1    92%
/usr/local/lib/python2.7/site-packages/html/__init__.py                          5      1    80%
/usr/local/lib/python2.7/site-packages/html/entities.py                          5      1    80%
/usr/local/lib/python2.7/site-packages/itsdangerous.py                         413    293    29%
/usr/local/lib/python2.7/site-packages/jinja2/__init__.py                       11      0   100%
/usr/local/lib/python2.7/site-packages/jinja2/_compat.py                        98     37    62%
/usr/local/lib/python2.7/site-packages/jinja2/bccache.py                       147    104    29%
/usr/local/lib/python2.7/site-packages/jinja2/compiler.py                     1030    885    14%
/usr/local/lib/python2.7/site-packages/jinja2/defaults.py                       19      0   100%
/usr/local/lib/python2.7/site-packages/jinja2/environment.py                   488    391    20%
/usr/local/lib/python2.7/site-packages/jinja2/exceptions.py                     70     47    33%
/usr/local/lib/python2.7/site-packages/jinja2/filters.py                       343    265    23%
/usr/local/lib/python2.7/site-packages/jinja2/lexer.py                         346    231    33%
/usr/local/lib/python2.7/site-packages/jinja2/loaders.py                       221    168    24%
/usr/local/lib/python2.7/site-packages/jinja2/nodes.py                         423    223    47%
/usr/local/lib/python2.7/site-packages/jinja2/optimizer.py                      31     21    32%
/usr/local/lib/python2.7/site-packages/jinja2/parser.py                        646    586     9%
/usr/local/lib/python2.7/site-packages/jinja2/runtime.py                       291    190    35%
/usr/local/lib/python2.7/site-packages/jinja2/tests.py                          47     24    49%
/usr/local/lib/python2.7/site-packages/jinja2/utils.py                         263    185    30%
/usr/local/lib/python2.7/site-packages/jinja2/visitor.py                        40     31    23%
/usr/local/lib/python2.7/site-packages/markupsafe/__init__.py                  155     89    43%
/usr/local/lib/python2.7/site-packages/markupsafe/_compat.py                    14      5    64%
/usr/local/lib/python2.7/site-packages/pymysql/__init__.py                      51     12    76%
/usr/local/lib/python2.7/site-packages/pymysql/_compat.py                       14      4    71%
/usr/local/lib/python2.7/site-packages/pymysql/_socketio.py                     72     39    46%
/usr/local/lib/python2.7/site-packages/pymysql/charset.py                      228      4    98%
/usr/local/lib/python2.7/site-packages/pymysql/connections.py                  774    302    61%
/usr/local/lib/python2.7/site-packages/pymysql/constants/CLIENT.py              18      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/constants/COMMAND.py             32      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/constants/ER.py                 471      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/constants/FIELD_TYPE.py          29      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/constants/FLAG.py                15      0   100%
